Full_Sku,Parent_Sku,Child_Sku,Detail_Image_Name,Thumbnail_Image_Name,New_Product,Product_Category,Product_Name,Available_Options,Weight_lb,MSRP,MAP,MAP_%,Wholesale_Price,Box_Width_in,Box_Length_in,Box_Height_in,Number_of_Boxes,Ships_in_Own_Box,Country_Of_Origin,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Description_7,Description_8,Description_9,Description_10,Description_11,Description_12,Description_13,Description_14,Description_15,Description_16,
15-4135 18 ,15-4135,18,15-4135.JPG,15-4135.JPG,,Darts,Wolverine Dart Soft Tip ,18 gram,0.55,$59.95,,,$26.00,0,0,0,1,No,Made in China ,"Tungsten barrels, 80/20",Aluminum shafts,2ba Nylon tips,18 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,20 Extra 2ba Nylon Tips,*Flights and shafts may vary*,,,,,,,,
15-4136 22 ,15-4136,22,15-4136.JPG,15-4136.JPG,,Darts,Wolverine Dart Steel Tip ,22 gram,0.65,$59.95,,,$26.00,0,0,0,1,No,Made in China ,"Tungsten barrels, 80/20",Aluminum shafts,Steel Tips,22 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,Sharpening Stone,*Flights and shafts may vary*,,,,,,,,
15-4136 26 ,15-4136,26,15-4136.JPG,15-4136.JPG,,Darts,Wolverine Dart Steel Tip ,26 gram,0.65,$59.95,,,$26.00,0,0,0,1,No,Made in China ,"Tungsten barrels, 80/20",Aluminum shafts,Steel Tips,26 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,Sharpening Stone,*Flights and shafts may vary*,,,,,,,,
16-0305 ,16-0305 ,,16-0305.JPG,16-0305.JPG,,Darts,Hammer Head/Gorilla Grip Replacement Points ,3 Pack ,0.025,$17.00,,,$10.00,0,0,0,1,No,Made in China ,Replacement movable steel tip points for Hammerhead and Gorrilla Grip Darts,Set of 3 points,,,,,,,,,,,,,,,
16-1400 ,16-1400,,16-1400.JPG,16-1400.JPG,,Darts,Dart Washers 18 ct. ,,0.05,$2.95,,,$0.75,0,0,0,1,No,Made in China ,Set of 18 rubber washers for 2ba Soft Tip Dart Sets,Stop your 2ba shafts from loosening!,,,,,,,,,,,,,,,
16-1401 SLM ,16-1401,SLM,16-1401.JPG,16-1401.JPG,,Darts,Flights - Polyroyal - Triumph ,Slim,0.05,$2.95,,,$0.70,0,0,0,1,No,Made in China ,Triumph Extra Flight Sets,These durable flights are built for exceptional aerodynamics and easy threading.,"The firm, thin material ensures pinpoint accuracy with every throw.",Slim Design,,,,,,,,,,,,,
16-1401 STD ,16-1401,STD,16-1401.JPG,16-1401.JPG,,Darts,Flights - Polyroyal - Triumph ,Standard,0.05,$2.95,,,$0.70,0,0,0,1,No,Made in China ,Triumph Extra Flight Sets,These durable flights are built for exceptional aerodynamics and easy threading.,"The firm, thin material ensures pinpoint accuracy with every throw.",Standard Design,,,,,,,,,,,,,
16-1402 ,16-1402,,16-1402.JPG,16-1402.JPG,,Darts,Nylon Shafts 3 pk. ,,0.05,$2.95,,,$0.60,0,0,0,1,No,Made in China ,Nylon Replacement Shaft Set,,,,,,,,,,,,,,,,
16-1403 SLIM ,16-1403,SLIM,16-1403.JPG,16-1403.JPG,,Darts,Flights- 2D Glitter ,Assorted Slim Flights,0.05,$2.95,,,$0.75,4,4,0.5,1,No,Made in China ,These durable flights are built for exceptional aerodynamics and easy threading.,"The firm, thin material ensures pinpoint accuracy with every throw.",,,,,,,,,,,,,,,
16-1403 STANDARD ,16-1403,STANDARD,16-1403.JPG,16-1403.JPG,,Darts,Flights- 2D Glitter ,Assorted Standard Flights,0.05,$2.95,,,$0.75,4,4,0.5,1,No,Made in China ,These durable flights are built for exceptional aerodynamics and easy threading.,"The firm, thin material ensures pinpoint accuracy with every throw.",,,,,,,,,,,,,,,
16-1404 ,16-1404,,16-1404.JPG,16-1404.JPG,,Darts,Aluminum Shafts 3 pk. ,,0.05,$4.95,,,$1.50,4,3.5,0.5,1,No,Made in China ,Set of 3 black aluminum shafts,,,,,,,,,,,,,,,,
16-1405 ,16-1405,,16-1405.JPG,16-1405.JPG,,Darts,Diamond Cut Shafts 3 pk. ,,0.05,$5.95,,,$2.25,0,0,0,1,No,Made in China ,Set of 3 Diamond Aluminum Shaft Set,,,,,,,,,,,,,,,,
16-1406 ,16-1406,,16-1406.JPG,16-1406.JPG,,Darts,Rotating Shafts ,,0.05,$7.95,,,$2.75,0,0,0,1,No,Made in China ,Set of 3 Rotating Aluminum Shaft Set,,,,,,,,,,,,,,,,
16-1407 ,16-1407,,16-1407.JPG,16-1407.JPG,,Darts,Accessory Value Pack ,,0.15,$9.95,,,$3.60,0,0,0,1,No,Made in China ,All In One Accessory Pack Contains all the tools you will need for your darts.,Includes:,2 Sets of flights,3 Add-a-gram weights,1 Dart tool,,3 Nylon shafts,6 2ba washers,100 2ba tips,,,,,,,,
16-1408 ,16-1408,,16-1408.JPG,16-1408.JPG,,Darts,50ct. 2 ba Tips ,,0.05,$2.95,,,$1.00,0,0,0,1,No,Made in China ,Board grabbing perfomance at the right price.<,50 Count box of 2ba replacement nylon tips,,,,,,,,,,,,,,,
16-1409 ,16-1409,,16-1409.JPG,16-1409.JPG,,Darts,150ct. 2ba Tips ,,0.05,$4.95,,,$2.00,4,4,1.5,1,No,Made in China ,Board grabbing perfomance at the right price.<,150 Count box of 2ba replacement nylon tips,,,,,,,,,,,,,,,
16-1410 ,16-1410,,16-1410.JPG,16-1410.JPG,,Darts,Throw Line ,,0.1,$4.95,,,$1.20,9.5,4,0.5,1,No,Made in China ,Toe the line from regulation distance every time. Place this attractive throw line in place and never worry about illegal throws again.,For Steel Tip Darts:,Place the throw line 7 feet 9.25 inches from the surface of the board to the front edge of the throw line.,The board needs to be mounted 5 feet 8 inches from the floor to the center of the Bulls Eye.,For Soft Tip Darts:,,Place the throw line 8 feet from the surface of the board to the front edge of the throw line.,The board needs to be mounted 5 feet 8 inches from the floor to the center of the Bulls Eye.,,,,,,,,,
16-1411 ,16-1411,,16-1411.JPG,16-1411.JPG,,Darts,Striped Shafts ,,0.05,$4.95,,,$1.80,4,4,0.5,1,No,Made in China ,Set of 3 Striped Aluminum Dart Shafts,,,,,,,,,,,,,,,,
16-1412 ,16-1412,,16-1412.JPG,16-1412.JPG,,Darts,Add-A-Gram ,,0.1,$4.95,,,$1.20,0,0,0,1,No,Made in China ,Adjust the weight of your darts with these 2-gram additions,Fits darts with 2ba tips only.,Sold in sets of 3,,,,,,,,,,,,,,
16-1413 ,16-1413,,16-1413.JPG,16-1413.JPG,,Darts,Dart Tool ,,0.1,$3.95,,,$0.60,0,0,0,1,No,Made in China ,This multi-purpose dart tool is for use with soft or steel tip darts.,Features Include:,Tightening shafts,Spreading shafts for flight insertion,Reshaping shafts,,Tightening tips,Attaches to key chain,,,,,,,,,
16-1414 ,16-1414,,16-1414.JPG,16-1414.JPG,,Darts,6 Dart Wall Holder ,,0.25,$7.95,,,$2.70,0,0,0,1,No,Made in China ,6 Dart Wall Holder,"Organizes darts attractively, efficiently and safely.",Wall mounted to hold six darts.,Hardware included,,,,,,,,,,,,,
16-1415 ,16-1415,,16-1415.JPG,16-1415.JPG,,Darts,Dart Case ,,0.3,$12.95,,,$5.50,0,0,0,1,No,Made in China ,Soft Case,"Perfect size, plenty of storage and quality construction makes this soft case a great value.,",This case can hold:,2 complete sets of darts,8 accessory pockets,,Sturdy zipper closure,,,,,,,,,,
16-1416 ,16-1416,,16-1416.JPG,16-1416.JPG,,Darts,1/4 50ct. Tips ,,0.05,$2.95,,,$1.00,4,4,1,1,No,Made in China ,Soft tips that are both durable and flexible.,50 count box of replacement 1/4 inch nylon tips,,,,,,,,,,,,,,,
16-1417 ,16-1417,,16-1417.JPG,16-1417.JPG,,Darts,Flights - Bulk 10 pk. ,,0.05,$9.95,,,$3.40,4,4,1,1,No,Made in China ,10 Pack of Mulitple Flights,This package contains 10 sets of assorted flights and designs.,,,,,,,,,,,,,,,
16-1418 ,16-1418,,16-1418.JPG,16-1418.JPG,,Darts,Flights - Asst. 6 pk. ,,0.1,$8.95,,,$3.20,4.5,9,0.5,1,No,Made in China ,This package contains 6 sets of flights,1 set of each of the following styles:,Tear drop,Wedge,Airmaster,,Shield,Standard,,,,,,,,,
16-1500 ,16-1500,,16-1500.JPG,16-1500.JPG,,Darts,Tufflex Super Short - Soft Dart Tips - 2BA - 50ct. ,,0.3,$4.95,,,$1.50,0,0,0,1,No,Made in China ,Package of 50 replacement 2ba nylon soft tips.,,,,,,,,,,,,,,,,
16-1501 ,16-1501 ,,16-1501.JPG,16-1501.JPG,,Darts,Spider Leg Shafts for Black Widow Darts ,,0.012,$12.95,,,$6.50,0,0,0,1,No,Made in China ,Replacement Shafts for Black Widow Dart,Set of 3 replacement spider shafts for Black Widow Darts,,,,,,,,,,,,,,,
20-0100 ,20-0100,,20-0100.JPG,20-0100.JPG,,Darts,Dart Case - Silver & Black ,,1,$24.00,,,12.00,0,0,0,1,No,Made in China ,Diamond Plate Dart Case,Holds one set of darts and 3 accessory pouches (darts and accessories not included.),,,,,,,,,,,,,,,
20-0200 ,20-0200,,20-0200.JPG,20-0200.JPG,,Darts,Dart Case - Black ,,1,$16.00,,,$8.00,0,0,0,1,No,Made in China ,Black Dart Case,Holds one set of darts and 3 accessory pouches. (darts and accessories not included.) ,,,,,,,,,,,,,,,
20-0600 ,20-0600,,20-0600.JPG,20-0600.JPG,,Darts,Black Canyon Dart Case 2 ,,0.5,$14.00,,,$6.00,0,0,0,1,No,Made in China ,Belt Dart Case,Holds one set of darts in the insert,Accessories pockets,,,,,,,,,,,,,,
20-0700 ,20-0700,,20-0700.JPG,20-0700.JPG,,Darts,Black Canyon Dart Case 3 ,,0.5,$12.00,,,$5.00,0,0,0,1,No,Made in China ,Zip Around Wallet Style Dart Case,Hold 2 sets of darts,Has 6 accessory pockets,,,,,,,,,,,,,,
20-0800 ,20-0800,,20-0800.JPG,20-0800.JPG,,Darts,Black Canyon Dart Case 4 ,,0.5,$32.00,,,$16.00,0,0,0,1,No,Made in China ,Rectangular Dart Case,Holds multiple sets of darts,Has 15 accessory pockets and 2 accessory tubes,,,,,,,,,,,,,,
20-0900 ,20-0900,,20-0900.JPG,20-0900.JPG,,Darts,Black Canyon Dart Case 5 ,,0.5,$29.00,,,$14.00,0,0,0,1,No,Made in China ,Cube Dart Case with Center Flap,Holds multiple sets of darts,Has multiple accessory pouches and 4 accesssory tubes,,,,,,,,,,,,,,
2101 18.0 ,2101,18.0,2101.JPG,2101.JPG,,Meucci Cues,Meucci - 21st Century - 1 ,18.0 oz,1.4,$614.00,$491.20,20%,$368.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation Ebony with red and aluminum veneer rings with an Imitation Ivory Kings Crown. ,,"Forearm: Birdseye maple, with black points and scrimshaw design above the Imitation Ivory Kings crown and silver and aluminum rings.",Wrap: Eurothane coated Black Irish linen,Sleeve: Imitation ebony with unique scrimshaw designs and two sets of Kings Crown Inlay,,,,,,,,
2101 19.0 ,2101,19.0,2101.JPG,2101.JPG,,Meucci Cues,Meucci - 21st Century - 1 ,19.0 oz,1.4,$614.00,$491.20,20%,$368.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation Ebony with red and aluminum veneer rings with an Imitation Ivory Kings Crown. ,,"Forearm: Birdseye maple, with black points and scrimshaw design above the Imitation Ivory Kings crown and silver and aluminum rings.",Wrap: Eurothane coated Black Irish linen,Sleeve: Imitation ebony with unique scrimshaw designs and two sets of Kings Crown Inlay,,,,,,,,
2101 20.0 ,2101,20.0,2101.JPG,2101.JPG,,Meucci Cues,Meucci - 21st Century - 1 ,20.0 oz,1.4,$614.00,$491.20,20%,$368.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation Ebony with red and aluminum veneer rings with an Imitation Ivory Kings Crown. ,,"Forearm: Birdseye maple, with black points and scrimshaw design above the Imitation Ivory Kings crown and silver and aluminum rings.",Wrap: Eurothane coated Black Irish linen,Sleeve: Imitation ebony with unique scrimshaw designs and two sets of Kings Crown Inlay,,,,,,,,
2101 21.0 ,2101,21.0,2101.JPG,2101.JPG,,Meucci Cues,Meucci - 21st Century - 1 ,21.0 oz,1.4,$614.00,$491.20,20%,$368.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation Ebony with red and aluminum veneer rings with an Imitation Ivory Kings Crown. ,,"Forearm: Birdseye maple, with black points and scrimshaw design above the Imitation Ivory Kings crown and silver and aluminum rings.",Wrap: Eurothane coated Black Irish linen,Sleeve: Imitation ebony with unique scrimshaw designs and two sets of Kings Crown Inlay,,,,,,,,
2103 18.0 ,2103,18.0,2103.JPG,2103.JPG,,Meucci Cues,Meucci - 21st Century - 3 ,18.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ebony encasing aluminum and ivory rings with aluminum veneer blocks,,Forearm: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. ,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks","Sleeve: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. Encased by Imitation ebony, aluminum, and black rings with aluminum veneer blocks",,,,,,,,
2103 19.0 ,2103,19.0,2103.JPG,2103.JPG,,Meucci Cues,Meucci - 21st Century - 3 ,19.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ebony encasing aluminum and ivory rings with aluminum veneer blocks,,Forearm: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. ,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks","Sleeve: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. Encased by Imitation ebony, aluminum, and black rings with aluminum veneer blocks",,,,,,,,
2103 20.0 ,2103,20.0,2103.JPG,2103.JPG,,Meucci Cues,Meucci - 21st Century - 3 ,20.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ebony encasing aluminum and ivory rings with aluminum veneer blocks,,Forearm: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. ,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks","Sleeve: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. Encased by Imitation ebony, aluminum, and black rings with aluminum veneer blocks",,,,,,,,
2103 21.0 ,2103,21.0,2103.JPG,2103.JPG,,Meucci Cues,Meucci - 21st Century - 3 ,21.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ebony encasing aluminum and ivory rings with aluminum veneer blocks,,Forearm: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. ,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks","Sleeve: Imitation Ivory with six recessed brilliant blue Paua Shell recessed points with a white scrimshaw design. Encased by Imitation ebony, aluminum, and black rings with aluminum veneer blocks",,,,,,,,
2104 18.0 ,2104,18.0,2104.JPG,2104.JPG,,Meucci Cues,Meucci - 21st Century - 4 ,18.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ivory encasing aluminum and black rings with aluminum veneer blocks,,Forearm: Black imitation ebony with six recessed brilliant gold Paua Shell recessed points with a white scrimshaw design.,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks ","Sleeve: Black imitation ebony with six recessed brilliant gold Paua Shell with a white scrimshaw design. Encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks",,,,,,,,
2104 19.0 ,2104,19.0,2104.JPG,2104.JPG,,Meucci Cues,Meucci - 21st Century - 4 ,19.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ivory encasing aluminum and black rings with aluminum veneer blocks,,Forearm: Black imitation ebony with six recessed brilliant gold Paua Shell recessed points with a white scrimshaw design.,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks ","Sleeve: Black imitation ebony with six recessed brilliant gold Paua Shell with a white scrimshaw design. Encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks",,,,,,,,
2104 20.0 ,2104,20.0,2104.JPG,2104.JPG,,Meucci Cues,Meucci - 21st Century - 4 ,20.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ivory encasing aluminum and black rings with aluminum veneer blocks,,Forearm: Black imitation ebony with six recessed brilliant gold Paua Shell recessed points with a white scrimshaw design.,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks ","Sleeve: Black imitation ebony with six recessed brilliant gold Paua Shell with a white scrimshaw design. Encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks",,,,,,,,
2104 21.0 ,2104,21.0,2104.JPG,2104.JPG,,Meucci Cues,Meucci - 21st Century - 4 ,21.0 oz,1.4,$854.00,$683.20,20%,$512.40,0,0,0,1,No,Made in China ,Tip and Ferrule: 12.75mm Medium-hard Lepro tip and Poly Carbonate Ferrule.,"Shaft: Hard rock maple (29"" long). Black dot shaft is 35 pieces of wood spliced together one on top of the other and then turned down into the shape of a shaft. 14 1/2-16"" pro taper.",Joint: Flat faced wood-to-wood. ,Joint: Flat faced wood-to-wood with 5/16x18 pin.,Collar: Imitation ivory encasing aluminum and black rings with aluminum veneer blocks,,Forearm: Black imitation ebony with six recessed brilliant gold Paua Shell recessed points with a white scrimshaw design.,"Wrap: Eurothane coated black Irish wrap encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks ","Sleeve: Black imitation ebony with six recessed brilliant gold Paua Shell with a white scrimshaw design. Encased by Imitation ivory, aluminum and black rings with aluminum veneer blocks",,,,,,,,
30-0155 ,30-0155,,30-0155.JPG,30-0155.JPG,,Darts,Bristle Board w/ Bladed Wire ,,11.1,$54.00,,,$29.00,0,0,0,1,No,Made in China ,Every Black Canyon Blade is made with the finest quality sisal fibers that self heal for optimum playing conditions and durability,Features Include,"13.5"" target area",Movable number rings for even wear,Sisal fiber board,,Scoring area is 100% staple free to reduce bounce outs,Mounting Hardware included,,,,,,,,,
30-0255 ,30-0255,,30-0255.JPG,30-0255.JPG,,Darts,Bristle Board w/ Round Wire ,,11.1,$39.99,,,$23.00,0,0,0,1,No,Made in China ,Black Canyon's Round wire board offers the best possible value for players who demand a bristle board quality playing surface,Features Include,"13.5"" target area",Staple free Bulls-Eye,Round wire scoring area,,Movable number rings for even wear,Sisal fiber board,Mounting Hardware included,,,,,,,,
30-0355 ,30-0355,,30-0355.JPG,30-0355.JPG,,Darts,Bristle Board w/ Diamond Wire ,,11.1,$45.99,,,$25.00,0,0,0,1,No,Made in China ,Black Canyon Diamond is a step up from the Round wire board giving fewer bounce outs off the diamond shaped galvanized spider scoring area,Features Include,"13.5"" target area",Staple free Bulls-Eye,Diamond shaped wire scoring area,,Movable number rings for even wear,Sisal fiber board,Mounting Hardware included,,,,,,,,
